AOS.Howard.Moore.Name	Male_Song_Delta_Time_(s)	Male_Song_Peak_Freq_(Hz)	Male_Song_Avg_Entropy_(bits)	Male_Song_n.notes	Male_note_avg_duration_(s)	Male_Song_Pace_(n/s)
Rhegmatorhina_cristata	3.244722222	3409.472222	3.452	6.444444444	0.444187302	1.944073043
Rhegmatorhina_gymnops	3.71925	3366.341667	4.157	7.75	0.449165341	2.064166743
Rhegmatorhina_hoffmannsi	3.561916667	3216.691667	4.0855	8.083333333	0.378278935	2.224918138
Rhegmatorhina_melanosticta	2.9960625	3578.81875	3.561625	6.25	0.425444345	2.042310325
Rhopias_gularis	2.396375	3844.525	3.711854167	8.25	0.202342113	3.304417196
Rhopornis_ardesiacus	2.607291667	3356.483333	3.5465625	7.6875	0.174262318	2.748631045
Sakesphorus_canadensis	3.666083333	2202.491667	3.7845625	16.5	0.112624709	4.36194751
Sakesphorus_cristatus	2.86825	1617.6875	4.2309375	10.75	0.106838237	3.530802661
Sakesphorus_luctuosus	4.097541667	1583.304167	3.89425	15	0.121043169	3.520685349
Sciaphylax_castanea	1.3314375	3347.866667	2.622166667	6.229166667	0.15480439	4.444177732
Sciaphylax_hemimelaena	1.440083333	3494.739583	2.871333333	8.854166667	0.103419362	5.87594701
Sclateria_naevia	3.6715625	3823.104167	3.9445625	37.20833333	0.042699821	9.977873658
Sipia_berlepschi	2.119986111	3207.674306	3.543027778	8.5625	0.131183333	3.802538937
Sipia_laemosticta	1.8024375	4355.35	3.352625	9.125	0.084161111	4.728575713
Sipia_nigricauda	2.000416667	5076.689583	3.3045625	6.25	0.107750521	2.7738648
Sipia_palliata	2.083291667	4515.322917	4.038833333	5.979166667	0.129662698	2.548675694
Stymphalornis_acutirostris	4.862	2445.425	5.22675	13.5	0.044683358	2.594805559
Taraba_major	9.205875	1475.1875	4.155875	57.5	0.064066659	6.18039647
Terenura_maculata	2.007666667	4703.616667	4.484333333	37.5	0.027586258	18.43359484
Thamnistes_anabatinus	1.591916667	4615.291667	4.509583333	6.416666667	0.177167593	3.828711936
Thamnomanes_ardesiacus	3.936083333	3765.091667	4.42725	14.75	0.166246972	3.647373171
Thamnomanes_caesius	9.223291667	2671.870833	4.03025	58.83333333	0.099797133	6.338945359
Thamnomanes_saturninus	4.801520833	3029.752083	4.013479167	17.91666667	0.131620805	3.62249011
Thamnomanes_schistogynus	3.356694444	2563.577778	4.403333333	41.97222222	0.052863057	12.40142653
Thamnophilus_aethiops	1.9294375	1439.4625	3.442875	5.25	0.176002728	2.423814144
Thamnophilus_amazonicus	3.037875	1483.1125	3.8026875	31	0.060733346	10.07677951
Thamnophilus_ambiguus	2.142895833	1577.970833	3.778375	13.8125	0.069152752	6.178441348
Thamnophilus_aroyae	2.391229167	1672.435417	3.640895833	6.4375	0.228542758	2.514234139
Thamnophilus_atrinucha	2.576625	1857.25625	3.632125	16.5	0.081135594	6.211206493
Thamnophilus_bernardi	2.38684127	1310.286111	3.600452381	22.44047619	0.062824814	9.225612898
Thamnophilus_bridgesi	2.572895833	1966.2875	3.720791667	17.29166667	0.079573344	6.534119327
Thamnophilus_caerulescens	1.5026875	1641.7625	3.2161875	7.125	0.156073586	4.548445503
Thamnophilus_cryptoleucus	3.513166667	1179.75625	3.697270833	21.0625	0.069483315	5.825884076
Thamnophilus_divisorius	2.059	1754.966667	3.8565	21.58333333	0.052826485	10.25999654
Thamnophilus_doliatus	2.400895833	1626.204167	3.4945	16.5625	0.096449942	6.753250341
Thamnophilus_insignis	2.8035	1681.575	3.432375	13.25	0.113592949	4.554060704
Thamnophilus_melanonotus	0.297125	1501.1375	3.223	1	0.297125	1
Thamnophilus_melanothorax	4.76675	1103.370833	4.143041667	9.145833333	0.191894154	1.780566122
Thamnophilus_multistriatus	2.364895833	1622.477083	3.743958333	15.83333333	0.08105192	6.49489803
Thamnophilus_murinus	2.136333333	1822.075	3.131083333	5.5	0.24367996	2.377614445
Thamnophilus_nigriceps	2.807	1381.477778	3.670666667	13.11111111	0.11042716	4.491297596
Thamnophilus_nigrocinereus	2.785968254	1312.849603	3.653511905	11.30555556	0.094772386	3.829359163
Thamnophilus_palliatus	2.411166667	1702.145833	3.38725	19.72916667	0.070768714	8.002556423
Thamnophilus_pelzelni	1.8508125	1901.227083	3.7966875	17.125	0.056015267	8.984301793
Thamnophilus_praecox	2.602	1064.995833	3.190041667	17.16666667	0.088857034	6.432847986
Thamnophilus_punctatus	2.346020833	1528.614583	3.849395833	9.854166667	0.08808087	3.92134725
Thamnophilus_ruficapillus	3.620416667	2467.74375	3.949270833	15.0625	0.179030383	4.086289315
