aos.howardmoore.species	howardmoore.family	dr.statistic	tb.statistic	nh.statistic	elev.mid	elev.max	elev.range	lat.mid	lat.max	lat.range	AM_percent	AN_percent	DT_percent	AF_percent	CA_percent
Thamnophilus_ambiguus	Thamnophilidae	-1.071526688	0.789702267	16.06030823	350	700	700	16.89755249	10.69207764	12.41094971	0	0	0.002483651	0.997516349	0
Thamnophilus_aroyae	Thamnophilidae	-1.315906824	1.172004779	16.15337365	1250	1700	900	15.6506958	13.61529541	4.070800781	0.003066042	0.996933958	0	0	0
Thamnophilus_atrinucha	Thamnophilidae	-1.270090395	0.231310114	17.64682125	750	1500	1500	8.508087158	16.61547852	16.21478271	0	0.171160407	0	0	0.828839593
Thamnophilus_bernardi	Thamnophilidae	-1.270090395	0.231310114	17.64682125	975	1950	1950	4.619995117	0.160278321	8.919433593	0	0.778597298	0	0	0.221402702
Thamnophilus_bridgesi	Thamnophilidae	-1.768507717	1.402033351	18.42713417	550	1100	1100	8.937774658	10.67767334	3.479797362	0	0	0	0	1
Thamnophilus_caerulescens	Thamnophilidae	-1.608420815	1.414067549	17.26718243	1350	2700	2700	18.98864746	2.999511719	31.97827148	0.003712412	0.065695188	0.345430328	0.585162072	0
Thamnophilus_cryptoleucus	Thamnophilidae	-1.452196754	0.732420056	17.71923441	200	400	400	5.623626709	0.265075684	10.71710205	0.998893942	0.001106058	0	0	0
Thamnophilus_divisorius	Thamnophilidae	-1.738635571	1.615212209	17.38629646	75	150	150	7.702301025	7.099914551	1.204772949	1	0	0	0	0
Thamnophilus_doliatus	Thamnophilidae	-1.923237366	1.757968515	19.03302142	1000	2000	2000	10.56616211	23.80371094	26.47509766	0.296693167	0.05850249	0.271241258	0.189442501	0.184120584
Thamnophilus_insignis	Thamnophilidae	-1.738635571	1.615212209	17.38629646	1450	2000	1100	3.469417504	6.174864668	5.410894328	1	0	0	0	0
Thamnophilus_melanonotus	Thamnophilidae	-1.848485554	1.756225033	17.9479938	650	1300	1300	10.51493778	12.46392822	3.897980895	0.006245767	0.121469485	0	0	0.872284748
Thamnophilus_melanothorax	Thamnophilidae	-1.768149712	1.502202529	18.40634797	275	550	550	1.743508812	6.003112793	8.519207962	1	0	0	0	0
Thamnophilus_multistriatus	Thamnophilidae	-1.737619343	1.532467069	18.33713697	1550	2200	1300	5.884399414	10.80987549	9.850952148	0	0.930732816	0	0	0.069267184
Thamnophilus_murinus	Thamnophilidae	-2.085197994	1.785671559	20.3238277	650	1300	1300	3.6227417	8.408874512	9.572265625	0.963035581	0.036964419	0	0	0
Thamnophilus_nigriceps	Thamnophilidae	-1.343129733	0.588913252	17.6516062	300	600	600	7.906921387	11.12731934	6.440795898	0	0.352618658	0	0	0.647381342
Thamnophilus_nigrocinereus	Thamnophilidae	-1.452196754	0.732420056	17.71923441	200	400	400	2.849090576	7.928710938	10.15924072	0.984482667	0.015517333	0	0	0
Thamnophilus_palliatus	Thamnophilidae	-1.423243944	0.962154523	17.62260027	1100	2200	2200	11.82070923	0.582519532	22.47637939	0.374471187	0.18538365	0.097908245	0.342236917	0
Thamnophilus_pelzelni	Thamnophilidae	-1.291139108	0.874678738	16.63770688	550	1100	1100	5.977600097	2.253601074	7.447998047	0.030295236	0	0.696425018	0.273279746	0
Thamnophilus_praecox	Thamnophilidae	-1.343129733	0.588913252	17.6516062	75	150	150	0.532440185	0.098388672	0.868103027	1	0	0	0	0
Thamnophilus_punctatus	Thamnophilidae	-1.352408458	1.050018855	16.65685689	750	1500	1500	1.955688477	10.34948731	16.78759766	0.956546308	0.043453692	0	0	0
Thamnophilus_ruficapillus	Thamnophilidae	-1.532714003	0.883097481	18.24184798	1525	3050	3050	16.32672119	5.264526367	22.12438965	0.004218688	0.14257013	0.159703908	0.693507274	0
Thamnophilus_schistaceus	Thamnophilidae	-2.085197994	1.785671559	20.3238277	650	1300	1300	7.328338623	3.341918945	21.34051514	0.836194354	0.118962583	0.044843063	0	0
Thamnophilus_stictocephalus	Thamnophilidae	-1.352408458	1.050018855	16.65685689	75	150	150	1.454895019	0.905700684	1.098388671	0.920651458	0	0.079348542	0	0
Thamnophilus_sticturus	Thamnophilidae	-1.071526688	0.789702267	16.06030823	475	950	950	17.18322676	13.91384734	6.538758844	0.456952949	0.115582423	0.427464628	0	0
Thamnophilus_tenuepunctatus	Thamnophilidae	-1.423243944	0.962154523	17.62260027	1350	2500	2300	0.678826755	8.74425019	16.13084687	0.073712297	0.913922724	0	0	0.012364979
Thamnophilus_torquatus	Thamnophilidae	-1.532714003	0.883097481	18.24184798	875	1750	1750	14.67089844	4.897399903	19.54699707	0.091829498	0	0.493593608	0.414576894	0
Thamnophilus_unicolor	Thamnophilidae	-1.441682218	1.241467052	16.69191178	1600	2300	1400	2.622414591	7.130126953	19.50508309	0.018201088	0.972794203	0	0	0.009004709
Thamnophilus_zarumae	Thamnophilidae	-1.907764335	1.721069653	19.02251461	1725	2650	1850	4.890594482	3.515075684	2.751037597	0	1	0	0	0
Willisornis_poecilinotus	Thamnophilidae	-1.935549305	1.016616133	21.98001479	675	1350	1350	5.003051758	7.563720703	25.13354492	0.862236922	0.095454243	0.042308834	0	0
Willisornis_vidua	Thamnophilidae	-1.935549305	1.016616133	21.98001479	675	1350	1350	0.968292236	0.100280762	1.736022949	0.958717827	0	0.041282173	0	0
Xenornis_setifrons	Thamnophilidae	-2.437930144	2.274613973	24.03736261	475	800	650	7.440307617	9.55871582	4.236816406	0	0	0	0	1
